fecha,valor
2023-03-28 13:01:24,4660
2023-03-28 13:01:28,4658.15
2023-03-28 13:01:30,4657.5167
2023-03-28 13:01:31,4657.1375
2023-03-28 13:01:32,4655.7125
2023-03-28 13:03:33,4656.57
2023-03-28 13:03:34,4656.9406
2023-03-28 13:03:38,4657.2676
2023-03-28 13:04:11,4657.6417
2023-03-28 13:04:13,4658.0279
2023-03-28 13:04:31,4658.3765
2023-03-28 13:06:03,4658.549
2023-03-28 13:06:14,4658.8423
2023-03-28 13:06:15,4659.3554
2023-03-28 13:06:17,4659.7896
2023-03-28 13:06:36,4659.9807
2023-03-28 13:06:58,4660.0707
2023-03-28 13:06:59,4660.1562
2023-03-28 13:07:00,4660.2978
2023-03-28 13:07:05,4660.3814
2023-03-28 13:07:07,4660.4139
2023-03-28 13:07:08,4660.411
2023-03-28 13:08:05,4660.4748
2023-03-28 13:08:06,4660.5938
2023-03-28 13:08:09,4660.7032
2023-03-28 13:08:21,4660.6998
2023-03-28 13:08:55,4660.8043
2023-03-28 13:08:58,4660.8152
2023-03-28 13:08:59,4660.858
2023-03-28 13:09:03,4660.9379
2023-03-28 13:09:09,4660.9576
2023-03-28 13:09:12,4660.9938
2023-03-28 13:09:39,4660.7253
2023-03-28 13:09:45,4660.6821
2023-03-28 13:09:47,4660.648
2023-03-28 13:09:48,4660.6869
2023-03-28 13:09:49,4660.7054
2023-03-28 13:09:50,4660.6897
2023-03-28 13:09:54,4660.694
2023-03-28 13:09:56,4660.6845
2023-03-28 13:11:04,4660.6618
2023-03-28 13:11:05,4660.6396
2023-03-28 13:11:14,4660.5743
2023-03-28 13:11:15,4660.5426
2023-03-28 13:11:23,4660.479
2023-03-28 13:11:24,4660.4385
2023-03-28 13:11:26,4660.4124
2023-03-28 13:12:44,4660.3954
2023-03-28 13:12:46,4660.3127
2023-03-28 13:12:47,4660.2924
2023-03-28 13:12:50,4660.3142
2023-03-28 13:13:00,4660.3449
2023-03-28 13:13:01,4660.3622
2023-03-28 13:13:03,4660.4607
2023-03-28 13:13:12,4660.5811
2023-03-28 13:13:15,4660.603
